timestamp,consumer_id,archetype,minute_index,input_rate_bytes_per_min,output_rate_bytes_per_min,completeness_ratio,completeness_ratio_1h,static_alert,backlog_bytes,cum_lost_bytes,is_true_loss,is_benign_burst,is_artifact,label,oracle_alert,traj_alert
2026-01-01 00:00:00,consumer_000,bursty_ml,0,,,,,False,57753428.08244999,0.0,False,True,True,benign_burst,False,False
2026-01-01 00:01:00,consumer_000,bursty_ml,1,364807140.0,363286382.0,0.9958313370730628,,False,75217086.94391188,0.0,False,True,False,benign_burst,False,False
2026-01-01 00:02:00,consumer_000,bursty_ml,2,41477782.0,117328388.0,2.8287044856930876,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:03:00,consumer_000,bursty_ml,3,37691145.0,37720698.0,1.0007840833702453,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:04:00,consumer_000,bursty_ml,4,63952284.0,54278241.0,0.848730297107137,,False,8293851.304855875,0.0,False,False,False,normal,False,False
2026-01-01 00:05:00,consumer_000,bursty_ml,5,53432639.0,63087783.0,1.180697494653034,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:06:00,consumer_000,bursty_ml,6,39905552.0,39907721.0,1.0000543533391042,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:07:00,consumer_000,bursty_ml,7,41291033.0,41286136.0,0.9998814028217701,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:08:00,consumer_000,bursty_ml,8,43108559.0,42977683.0,0.9969640367705169,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:09:00,consumer_000,bursty_ml,9,122827813.0,74397860.0,0.6057085783982818,,False,48377956.546692245,0.0,False,False,False,normal,False,False
2026-01-01 00:10:00,consumer_000,bursty_ml,10,43760705.0,92282344.0,2.108794728055684,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:11:00,consumer_000,bursty_ml,11,63879761.0,63881280.0,1.0000237790495177,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:12:00,consumer_000,bursty_ml,12,39924436.0,39968525.0,1.0011043111542015,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:13:00,consumer_000,bursty_ml,13,42081954.0,42046158.0,0.9991493740998814,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:14:00,consumer_000,bursty_ml,14,95518668.0,70625495.0,0.7393894458410999,,False,23061186.235457044,0.0,False,False,False,normal,False,False
2026-01-01 00:15:00,consumer_000,bursty_ml,15,83767296.0,108702786.0,1.2976757182182412,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:16:00,consumer_000,bursty_ml,16,40235858.0,40226438.0,0.9997658804740787,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:17:00,consumer_000,bursty_ml,17,42443119.0,42385048.0,0.9986317923524894,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:18:00,consumer_000,bursty_ml,18,39826727.0,39827055.0,1.0000082356755051,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:19:00,consumer_000,bursty_ml,19,100815983.0,66331535.0,0.6579466174525125,,False,25212890.795495052,0.0,False,False,False,normal,False,False
2026-01-01 00:20:00,consumer_000,bursty_ml,20,48424978.0,82912500.0,1.7121845672289207,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:21:00,consumer_000,bursty_ml,21,69798866.0,68579607.0,0.9825318222218682,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:22:00,consumer_000,bursty_ml,22,44315685.0,45483840.0,1.026359854304407,,False,0.0,0.0,False,False,False,normal,False,False
2026-01-01 00:23:00,consumer_000,bursty_ml,23,42787978.0,42827519.0,1.000924114712782,,False,0.0,0.0,False,False,False,normal,False,False
