timestamp,consumer_id,shard_id,collector_input_counted,presenter_output_counted,missing_flag,reset_flag,backlog_bytes,cum_lost_bytes
2026-01-01 00:00:00,consumer_000,shard_000_0,31268034.0,2230652.0,False,False,27830223.60031527,0.0
2026-01-01 00:00:10,consumer_000,shard_000_0,59792391.0,14715395.0,False,False,39040064.82418147,0.0
2026-01-01 00:00:20,consumer_000,shard_000_0,72872461.0,27516540.0,False,False,29172586.718043897,0.0
2026-01-01 00:00:30,consumer_000,shard_000_0,83659651.0,55447447.0,False,False,21943116.714633387,0.0
2026-01-01 00:00:40,consumer_000,shard_000_0,93457571.0,71115402.0,False,False,17337455.32260273,0.0
2026-01-01 00:00:50,consumer_000,shard_000_0,103017080.0,84021708.0,False,False,14795324.547470909,0.0
2026-01-01 00:01:00,consumer_000,shard_000_0,112300632.0,98947720.0,False,False,13248234.735323299,0.0
2026-01-01 00:01:10,consumer_000,shard_000_0,136446819.0,102302427.0,False,False,27336569.87163362,0.0
2026-01-01 00:01:20,consumer_000,shard_000_0,162115156.0,125036661.0,False,False,35910805.52547239,0.0
2026-01-01 00:01:30,consumer_000,shard_000_0,172223445.0,132384310.0,False,False,24616046.841837466,0.0
2026-01-01 00:01:40,consumer_000,shard_000_0,184219198.0,162016411.0,False,False,20869246.36940796,0.0
2026-01-01 00:01:50,consumer_000,shard_000_0,196495096.0,177075435.0,False,False,19269180.199342787,0.0
2026-01-01 00:02:00,consumer_000,shard_000_0,198208866.0,184014924.0,False,False,7909579.476283917,0.0
2026-01-01 00:02:10,consumer_000,shard_000_0,200272054.0,197610099.0,False,False,2579526.7578815334,0.0
2026-01-01 00:02:20,consumer_000,shard_000_0,201733495.0,201657998.0,False,False,0.0,0.0
2026-01-01 00:02:30,consumer_000,shard_000_0,203799063.0,203778609.0,False,False,0.0,0.0
2026-01-01 00:02:40,consumer_000,shard_000_0,205401124.0,205403724.0,False,False,0.0,0.0
2026-01-01 00:02:50,consumer_000,shard_000_0,207122266.0,207147695.0,False,False,0.0,0.0
2026-01-01 00:03:00,consumer_000,shard_000_0,208750165.0,208778359.0,False,False,0.0,0.0
2026-01-01 00:03:10,consumer_000,shard_000_0,210406777.0,210439338.0,False,False,0.0,0.0
2026-01-01 00:03:20,consumer_000,shard_000_0,212019084.0,212052047.0,False,False,0.0,0.0
2026-01-01 00:03:30,consumer_000,shard_000_0,213715830.0,213746607.0,False,False,0.0,0.0
2026-01-01 00:03:40,consumer_000,shard_000_0,215261384.0,215288345.0,False,False,0.0,0.0
2026-01-01 00:03:50,consumer_000,shard_000_0,216775392.0,216811868.0,False,False,0.0,0.0
2026-01-01 00:04:00,consumer_000,shard_000_0,218546793.0,218565755.0,False,False,0.0,0.0
2026-01-01 00:04:10,consumer_000,shard_000_0,220235939.0,220270922.0,False,False,0.0,0.0
2026-01-01 00:04:20,consumer_000,shard_000_0,221999448.0,222036158.0,False,False,0.0,0.0
2026-01-01 00:04:30,consumer_000,shard_000_0,224253325.0,224246564.0,False,False,0.0,0.0
2026-01-01 00:04:40,consumer_000,shard_000_0,227583285.0,227462951.0,False,False,0.0,0.0
2026-01-01 00:04:50,consumer_000,shard_000_0,233163683.0,230721429.0,False,False,2124726.200297999,0.0
2026-01-01 00:05:00,consumer_000,shard_000_0,237082082.0,235248300.0,False,False,1527295.5066555375,0.0
2026-01-01 00:05:10,consumer_000,shard_000_0,239403368.0,239154595.0,False,False,0.0,0.0
2026-01-01 00:05:20,consumer_000,shard_000_0,241215268.0,241205795.0,False,False,0.0,0.0
2026-01-01 00:05:30,consumer_000,shard_000_0,243157848.0,243179359.0,False,False,0.0,0.0
2026-01-01 00:05:40,consumer_000,shard_000_0,244986487.0,245010127.0,False,False,0.0,0.0
2026-01-01 00:05:50,consumer_000,shard_000_0,246850258.0,246881949.0,False,False,0.0,0.0
2026-01-01 00:06:00,consumer_000,shard_000_0,248811544.0,248838950.0,False,False,0.0,0.0
2026-01-01 00:06:10,consumer_000,shard_000_0,250450425.0,250462338.0,False,False,0.0,0.0
2026-01-01 00:06:20,consumer_000,shard_000_0,252010297.0,252039062.0,False,False,0.0,0.0
2026-01-01 00:06:30,consumer_000,shard_000_0,253656277.0,253683113.0,False,False,0.0,0.0
2026-01-01 00:06:40,consumer_000,shard_000_0,255350970.0,255381591.0,False,False,0.0,0.0
2026-01-01 00:06:50,consumer_000,shard_000_0,257074693.0,257107717.0,False,False,0.0,0.0
2026-01-01 00:07:00,consumer_000,shard_000_0,258651857.0,258677318.0,False,False,0.0,0.0
2026-01-01 00:07:10,consumer_000,shard_000_0,260529110.0,260538216.0,False,False,0.0,0.0
2026-01-01 00:07:20,consumer_000,shard_000_0,262249108.0,262270693.0,False,False,0.0,0.0
2026-01-01 00:07:30,consumer_000,shard_000_0,263995847.0,264025524.0,False,False,0.0,0.0
2026-01-01 00:07:40,consumer_000,shard_000_0,265815542.0,265840104.0,False,False,0.0,0.0
2026-01-01 00:07:50,consumer_000,shard_000_0,267652981.0,267682875.0,False,False,0.0,0.0
2026-01-01 00:08:00,consumer_000,shard_000_0,269371487.0,269394371.0,False,False,0.0,0.0
2026-01-01 00:08:10,consumer_000,shard_000_0,271178181.0,271202836.0,False,False,0.0,0.0
2026-01-01 00:08:20,consumer_000,shard_000_0,273108812.0,273128075.0,False,False,0.0,0.0
2026-01-01 00:08:30,consumer_000,shard_000_0,275122408.0,275145959.0,False,False,0.0,0.0
2026-01-01 00:08:40,consumer_000,shard_000_0,277178523.0,277208113.0,False,False,0.0,0.0
2026-01-01 00:08:50,consumer_000,shard_000_0,278695561.0,278693667.0,False,False,0.0,0.0
2026-01-01 00:09:00,consumer_000,shard_000_0,280256665.0,280289142.0,False,False,0.0,0.0
2026-01-01 00:09:10,consumer_000,shard_000_0,281892413.0,281921258.0,False,False,0.0,0.0
2026-01-01 00:09:20,consumer_000,shard_000_0,283890749.0,283891717.0,False,False,0.0,0.0
2026-01-01 00:09:30,consumer_000,shard_000_0,286641737.0,286584021.0,False,False,0.0,0.0
2026-01-01 00:09:40,consumer_000,shard_000_0,298473721.0,288709765.0,False,False,8359127.736278512,0.0
2026-01-01 00:09:50,consumer_000,shard_000_0,310159861.0,297752977.0,False,False,12393507.914887965,0.0
2026-01-01 00:10:00,consumer_000,shard_000_0,312903219.0,303521482.0,False,False,5466274.218718957,0.0
2026-01-01 00:10:10,consumer_000,shard_000_0,314958796.0,313492122.0,False,False,1311833.3065897431,0.0
2026-01-01 00:10:20,consumer_000,shard_000_0,316484038.0,316457591.0,False,False,0.0,0.0
2026-01-01 00:10:30,consumer_000,shard_000_0,318086702.0,318123852.0,False,False,0.0,0.0
2026-01-01 00:10:40,consumer_000,shard_000_0,319655958.0,319697345.0,False,False,0.0,0.0
2026-01-01 00:10:50,consumer_000,shard_000_0,321372915.0,321402206.0,False,False,0.0,0.0
2026-01-01 00:11:00,consumer_000,shard_000_0,323306735.0,323328377.0,False,False,0.0,0.0
2026-01-01 00:11:10,consumer_000,shard_000_0,325391290.0,325418932.0,False,False,0.0,0.0
2026-01-01 00:11:20,consumer_000,shard_000_0,329992614.0,328511785.0,False,False,1121837.2376652062,0.0
2026-01-01 00:11:30,consumer_000,shard_000_0,334206661.0,332880688.0,False,False,1295425.3277453561,0.0
2026-01-01 00:11:40,consumer_000,shard_000_0,336047909.0,335749470.0,False,False,0.0,0.0
2026-01-01 00:11:50,consumer_000,shard_000_0,337738729.0,337767957.0,False,False,0.0,0.0
2026-01-01 00:12:00,consumer_000,shard_000_0,339479298.0,339516889.0,False,False,0.0,0.0
2026-01-01 00:12:10,consumer_000,shard_000_0,341308975.0,341341788.0,False,False,0.0,0.0
2026-01-01 00:12:20,consumer_000,shard_000_0,343090773.0,343127714.0,False,False,0.0,0.0
2026-01-01 00:12:30,consumer_000,shard_000_0,344717137.0,344746508.0,False,False,0.0,0.0
2026-01-01 00:12:40,consumer_000,shard_000_0,346339853.0,346381547.0,False,False,0.0,0.0
2026-01-01 00:12:50,consumer_000,shard_000_0,347966316.0,348009001.0,False,False,0.0,0.0
2026-01-01 00:13:00,consumer_000,shard_000_0,349776631.0,349803762.0,False,False,0.0,0.0
2026-01-01 00:13:10,consumer_000,shard_000_0,351648024.0,351687828.0,False,False,0.0,0.0
2026-01-01 00:13:20,consumer_000,shard_000_0,353370779.0,353405072.0,False,False,0.0,0.0
2026-01-01 00:13:30,consumer_000,shard_000_0,355091243.0,355137467.0,False,False,0.0,0.0
2026-01-01 00:13:40,consumer_000,shard_000_0,356877481.0,356917561.0,False,False,0.0,0.0
2026-01-01 00:13:50,consumer_000,shard_000_0,358743082.0,358783791.0,False,False,0.0,0.0
2026-01-01 00:14:00,consumer_000,shard_000_0,360448376.0,360482225.0,False,False,0.0,0.0
2026-01-01 00:14:10,consumer_000,shard_000_0,362301883.0,362335775.0,False,False,0.0,0.0
2026-01-01 00:14:20,consumer_000,shard_000_0,364871826.0,364832396.0,False,False,0.0,0.0
2026-01-01 00:14:30,consumer_000,shard_000_0,369401520.0,368097046.0,False,False,1034685.6132751098,0.0
2026-01-01 00:14:40,consumer_000,shard_000_0,375241800.0,372181345.0,False,False,2866179.549834861,0.0
2026-01-01 00:14:50,consumer_000,shard_000_0,383213860.0,376873835.0,False,False,5907835.190599506,0.0
2026-01-01 00:15:00,consumer_000,shard_000_0,388063334.0,382883748.0,False,False,4309933.322880289,0.0
2026-01-01 00:15:10,consumer_000,shard_000_0,392175453.0,389265962.0,False,False,2768634.4154351857,0.0
2026-01-01 00:15:20,consumer_000,shard_000_0,396374088.0,394325781.0,False,False,2086545.9830502253,0.0
2026-01-01 00:15:30,consumer_000,shard_000_0,400973005.0,398808942.0,False,False,2140345.9923850615,0.0
2026-01-01 00:15:40,consumer_000,shard_000_0,402852867.0,402412967.0,False,False,0.0,0.0
2026-01-01 00:15:50,consumer_000,shard_000_0,404669616.0,404725451.0,False,False,0.0,0.0
2026-01-01 00:16:00,consumer_000,shard_000_0,406428734.0,406486088.0,False,False,0.0,0.0
2026-01-01 00:16:10,consumer_000,shard_000_0,408079110.0,408133537.0,False,False,0.0,0.0
2026-01-01 00:16:20,consumer_000,shard_000_0,409813095.0,409869526.0,False,False,0.0,0.0
2026-01-01 00:16:30,consumer_000,shard_000_0,411698887.0,411749309.0,False,False,0.0,0.0
2026-01-01 00:16:40,consumer_000,shard_000_0,413386419.0,413433139.0,False,False,0.0,0.0
2026-01-01 00:16:50,consumer_000,shard_000_0,414978296.0,415032677.0,False,False,0.0,0.0
2026-01-01 00:17:00,consumer_000,shard_000_0,416674516.0,416728213.0,False,False,0.0,0.0
2026-01-01 00:17:10,consumer_000,shard_000_0,418419080.0,418477237.0,False,False,0.0,0.0
